Date,City,Temperature,Precipitation,Wind Speed,Humidity
2023-12-19,Houston,0.8,85.0,13.1,74.8
2021-05-28,Houston,-7.8,86.5,20.5,8.5
2023-07-28,Phoenix,-8.5,33.6,15.2,84.7
2021-02-24,Chicago,27.9,75.4,21.5,81.0
2022-10-10,Los Angeles,-4.9,71.0,27.7,13.6
2020-05-28,Phoenix,32.1,62.0,20.1,89.4
2023-12-25,New York,32.6,56.5,26.1,11.1
2021-01-08,New York,-5.4,76.1,20.1,76.0
2022-02-25,Phoenix,-8.0,55.4,28.0,18.1
2022-05-20,Chicago,8.4,9.8,6.0,17.6
2023-10-31,Houston,11.6,81.1,6.2,51.8
2021-11-20,New York,21.6,49.7,20.8,41.6
2020-06-14,New York,24.8,36.3,26.8,45.0
2022-10-22,New York,18.3,62.2,13.2,87.6
2023-10-13,Los Angeles,15.7,93.5,13.6,38.0
2023-10-18,Los Angeles,34.1,7.8,29.4,54.1
2020-08-15,Los Angeles,4.8,60.9,7.8,50.8
2023-09-24,New York,38.5,30.4,17.8,69.3
2021-10-27,Los Angeles,33.7,31.8,11.8,8.4
2023-08-19,Los Angeles,17.7,93.5,21.3,87.9
2022-12-27,Phoenix,3.9,24.3,1.9,43.2
2021-09-03,Houston,0.7,11.6,17.4,29.0
2022-06-28,New York,28.4,45.5,29.9,67.2
2021-08-22,New York,24.8,61.6,15.9,68.5
2023-03-20,Phoenix,31.7,7.4,16.5,90.4
2022-04-26,New York,-5.5,18.1,11.9,34.5
2022-06-29,Houston,-0.3,54.9,24.7,83.1
2023-04-23,Los Angeles,29.4,31.5,23.5,34.8
2020-08-11,Phoenix,18.8,2.0,11.4,21.5
2022-05-13,Houston,-1.8,58.1,3.0,34.4
2022-06-03,Phoenix,16.9,95.3,28.0,19.5
2023-12-15,Phoenix,39.5,15.1,3.1,43.0
2023-11-02,Chicago,0.4,73.3,26.9,70.6
2020-08-15,Phoenix,34.2,60.9,2.8,92.9
2021-01-14,New York,37.4,21.5,13.0,55.6
2021-12-01,New York,17.9,39.4,15.7,32.6
2020-09-10,Los Angeles,-1.8,96.4,18.4,23.9
2022-10-30,Chicago,16.8,90.3,9.1,82.7
2021-11-10,New York,26.8,29.4,2.3,87.2
2020-11-28,Houston,11.8,62.3,21.5,17.8
2020-01-07,Houston,16.6,13.1,21.4,15.3
2023-01-28,New York,3.5,22.0,21.7,46.3
2022-01-27,Los Angeles,21.9,86.2,12.2,45.8
2023-07-20,Chicago,-6.2,15.3,24.8,70.3
2021-04-20,Los Angeles,1.8,17.1,1.7,72.5
2022-10-20,New York,5.7,41.8,21.4,77.7
2022-12-06,New York,32.3,86.9,0.2,28.4
2021-10-03,Phoenix,31.4,9.4,9.9,1.4
2023-10-20,Chicago,-5.0,93.9,6.9,56.6
2022-08-27,Phoenix,22.2,78.1,16.1,30.8
2021-10-03,New York,19.0,19.8,5.6,22.9
2023-03-29,Chicago,2.3,69.5,22.3,37.5
2020-03-13,Chicago,-3.2,4.0,24.7,46.5
2022-07-06,New York,19.9,39.6,5.3,23.0
2022-10-30,Phoenix,-3.3,73.9,13.5,68.6
2021-01-18,Chicago,39.7,27.5,0.9,43.8
2020-07-22,New York,21.2,96.8,19.9,16.7
2020-05-14,Phoenix,5.8,23.0,12.7,26.0
2023-04-27,Phoenix,2.4,88.7,7.5,33.5
2023-10-05,New York,31.4,92.6,11.3,95.5
2022-10-16,Houston,11.4,10.9,23.9,26.5
2023-04-05,Los Angeles,-2.0,34.0,14.0,62.9
2021-03-25,New York,0.5,46.0,0.1,8.9
2021-07-10,Los Angeles,-2.8,76.3,2.2,11.6
2020-07-24,Phoenix,39.5,34.4,18.8,17.0
2023-03-29,Chicago,22.3,20.8,18.5,50.4
2020-03-25,New York,5.0,50.0,21.8,96.8
2021-07-28,Chicago,2.3,10.1,2.2,76.2
2020-07-24,Los Angeles,1.7,72.3,13.5,81.4
2020-10-21,Houston,34.6,36.5,21.8,48.1
2023-09-17,Phoenix,-5.7,24.4,5.7,68.5
2020-09-17,Phoenix,19.5,83.8,22.4,18.1
2022-08-26,New York,5.7,25.7,3.7,70.6
2021-01-01,Houston,35.1,55.9,20.6,85.0
2021-02-14,Los Angeles,31.1,30.9,4.9,49.7
2023-12-14,Los Angeles,28.8,0.4,20.7,69.0
2020-07-19,New York,-9.7,2.3,11.2,43.9
2022-12-28,Chicago,31.9,57.5,16.2,16.4
2022-08-25,Phoenix,21.6,98.1,8.1,84.5
2022-01-18,New York,-7.2,46.5,27.6,28.5
2022-06-18,Houston,19.6,81.9,4.7,50.8
2021-02-20,Los Angeles,-9.1,30.3,28.0,88.3
2022-12-01,Los Angeles,0.9,99.3,9.2,21.8
2022-08-09,Phoenix,26.3,15.1,15.3,44.1
2022-11-25,Phoenix,-4.8,42.4,14.9,95.1
2022-07-30,Los Angeles,37.0,14.9,19.8,55.9
2021-01-30,Houston,25.9,96.8,16.3,82.5
2020-08-18,Phoenix,22.6,77.7,26.8,97.1
2022-09-13,New York,11.8,42.8,19.0,84.9
2023-04-18,New York,30.1,52.9,23.4,95.3
2020-10-23,Los Angeles,3.2,74.0,23.4,5.0
2021-01-29,Los Angeles,26.8,33.0,11.4,63.5
2023-11-22,Los Angeles,29.9,65.0,14.1,41.1
2023-09-23,Phoenix,26.8,80.3,16.6,51.5
2022-03-21,Los Angeles,30.5,32.7,7.9,91.5
2022-12-13,New York,13.2,13.0,23.2,22.3
2023-12-05,Chicago,-3.1,72.9,0.4,97.2
2020-04-10,Chicago,5.0,50.6,13.8,28.3
2020-01-29,Phoenix,33.6,30.8,10.3,0.6
2023-08-28,Los Angeles,7.1,97.4,25.1,17.8
2021-03-31,Phoenix,15.9,84.2,15.7,25.8
2020-07-26,Chicago,16.9,62.5,17.2,32.0
2023-12-19,Chicago,14.4,15.0,7.0,76.3
2022-12-20,Phoenix,21.1,93.8,18.7,49.9
2021-07-14,Chicago,25.1,37.5,8.7,36.5
2022-11-01,Houston,8.3,38.2,9.2,67.9
2023-02-01,Chicago,37.4,59.9,17.1,14.3
2020-03-01,Chicago,7.4,39.4,29.5,95.7
2020-01-10,Chicago,10.2,61.7,1.9,87.5
2020-01-02,Los Angeles,16.4,80.4,2.0,93.6
2023-05-20,Los Angeles,21.2,72.0,16.5,21.6
2023-09-17,Los Angeles,25.1,19.1,7.5,38.8
2022-12-11,Houston,-6.7,58.4,4.9,6.1
2022-04-19,Los Angeles,0.1,85.9,15.3,40.9
2021-03-08,Chicago,24.1,28.1,10.0,21.6
2023-09-13,Phoenix,25.3,19.5,9.9,18.2
2021-11-21,Los Angeles,38.2,4.6,22.3,69.2
2020-11-23,Chicago,-8.9,71.7,15.5,48.2
2020-03-18,Los Angeles,40.0,19.0,8.5,29.3
2022-05-24,Los Angeles,17.9,55.4,12.8,59.9
2022-02-03,Houston,-2.3,45.5,2.6,46.0
2023-03-25,Los Angeles,29.4,90.3,27.2,92.2
2020-03-02,Phoenix,35.2,6.9,9.2,37.5
2023-05-19,New York,-8.8,48.9,11.4,78.2
2020-07-26,New York,5.8,8.5,29.0,11.3
2023-07-26,Houston,32.4,74.7,8.0,66.0
2023-09-29,Los Angeles,17.6,45.9,10.5,77.9
2020-10-24,Los Angeles,7.6,13.9,24.0,46.3
2023-12-31,Chicago,28.7,6.6,23.3,20.5
2022-08-05,Phoenix,13.2,85.0,20.4,25.7
2020-09-09,Los Angeles,23.3,57.9,27.8,80.4
2022-03-30,Los Angeles,8.4,66.5,8.4,58.4
2021-06-29,Houston,32.8,50.9,3.9,43.3
2022-05-08,Houston,28.5,45.4,19.4,48.4
2020-12-15,Chicago,28.1,12.1,20.9,40.0
2022-07-23,Los Angeles,8.6,6.1,8.6,64.8
2023-09-19,Los Angeles,34.3,58.1,6.5,90.5
2023-11-29,Houston,-5.1,83.0,17.4,71.0
2022-12-16,Los Angeles,36.8,3.6,21.2,47.6
2022-08-12,Chicago,37.4,36.5,2.8,99.6
2021-12-28,Los Angeles,2.9,36.0,12.3,92.9
2021-11-07,Los Angeles,-0.4,56.7,15.2,4.6
2023-07-18,Phoenix,24.3,31.0,29.0,63.6
2023-11-06,Phoenix,37.9,89.6,9.0,31.3
2023-05-01,Chicago,8.7,55.6,19.9,39.2
2023-10-09,Chicago,16.7,71.1,3.5,89.7
2022-08-26,New York,4.3,18.5,28.8,31.7
2022-08-12,Phoenix,37.0,23.8,22.1,16.1
2020-02-27,Phoenix,3.8,89.4,15.4,67.6
2021-12-25,Houston,24.0,84.3,23.6,73.8
2023-05-07,New York,8.0,84.7,19.7,69.1
2021-10-30,Phoenix,9.1,71.0,15.7,82.4
2023-05-11,Houston,11.8,96.0,19.3,2.8
2020-06-27,Phoenix,34.9,28.2,20.7,6.0
2022-11-03,Los Angeles,34.6,36.4,13.0,22.2
2022-06-18,Chicago,-6.2,35.6,19.7,49.6
2020-09-04,Phoenix,1.3,42.7,8.6,42.9
2020-04-19,Phoenix,24.2,32.4,10.5,43.6
2021-04-08,Chicago,26.8,3.0,15.1,98.3
2020-02-09,Phoenix,29.3,3.4,10.4,52.8
2022-10-16,Chicago,38.6,80.0,20.2,36.0
2021-03-29,Los Angeles,2.8,67.7,8.5,40.8
2021-11-26,Los Angeles,20.8,42.6,19.1,67.5
2022-11-20,New York,-8.6,58.7,14.2,33.7
2023-01-11,Chicago,-1.3,24.0,14.1,48.6
2020-02-22,Phoenix,10.1,98.6,24.6,45.5
2023-03-01,Chicago,33.9,1.0,18.2,2.2
2022-11-01,Los Angeles,29.4,21.6,17.9,5.9
2023-12-10,New York,37.1,2.1,5.1,31.9
2020-09-26,New York,39.9,20.1,25.3,95.6
2021-09-12,Chicago,21.5,83.1,25.2,29.5
2022-08-16,Phoenix,-2.0,78.3,19.7,62.3
2020-08-24,Phoenix,21.6,93.4,1.1,92.0
2022-04-23,Houston,28.9,89.3,2.0,38.8
2020-07-16,Houston,14.5,55.6,0.6,47.4
2022-08-01,Houston,5.9,73.2,29.5,82.2
2022-12-01,Houston,2.0,54.9,13.7,74.4
2022-03-19,Los Angeles,38.5,2.6,27.3,99.5
2023-11-04,Los Angeles,-0.7,71.1,13.0,88.8
2022-02-08,Phoenix,11.5,75.2,25.7,47.5
2020-07-02,Houston,20.9,47.7,26.3,67.6
2021-11-01,New York,9.2,96.4,4.9,60.5
2022-02-19,Phoenix,11.9,17.1,2.3,24.3
2021-12-25,Phoenix,-5.0,6.2,27.5,1.5
2023-09-16,Houston,14.8,33.0,15.1,32.4
2021-06-12,Houston,35.5,59.0,5.1,82.8
2022-04-16,Los Angeles,38.5,45.5,5.7,5.4
2020-11-09,New York,6.3,34.1,29.3,23.3
2020-09-07,Phoenix,-7.2,31.9,13.0,46.1
2023-10-10,Houston,38.7,34.8,15.8,77.5
2021-06-04,Chicago,9.7,90.2,2.0,30.1
2023-01-29,New York,9.7,80.5,25.9,30.1
2020-05-17,New York,20.2,69.9,17.9,80.0
2023-03-23,Phoenix,0.5,50.4,22.7,19.1
2021-09-21,Houston,0.0,80.2,0.3,79.6
2020-11-29,New York,17.7,89.1,27.6,40.5
2022-02-22,Houston,7.1,82.3,17.6,70.0
2023-09-23,Los Angeles,20.0,42.7,5.9,37.6
2023-04-02,Phoenix,15.1,44.4,0.2,85.2
2023-07-17,Los Angeles,14.3,24.8,23.4,41.5
2022-12-19,Chicago,23.2,31.7,17.1,85.7
2022-09-30,Los Angeles,-9.8,11.1,15.4,73.5
2021-07-20,Chicago,-2.0,63.2,1.4,22.3
2020-09-25,Phoenix,-2.2,28.4,9.3,98.4
2022-05-17,Chicago,3.6,13.5,25.4,74.6
2022-06-04,New York,20.2,90.4,19.2,2.7
2020-12-01,Los Angeles,13.0,79.9,21.1,33.3
2023-04-29,Houston,23.4,11.5,5.8,93.4
2021-12-09,Phoenix,17.8,65.8,23.9,96.7
2022-02-28,Los Angeles,-5.1,83.3,17.9,83.5
2021-06-07,Phoenix,-2.4,70.7,10.7,10.0
2022-02-12,New York,-6.0,15.7,26.9,37.1
2021-10-26,Los Angeles,23.0,59.0,29.0,95.2
2022-03-10,New York,20.3,3.5,22.8,99.9
2020-06-09,Chicago,25.7,18.2,24.5,64.9
2020-03-21,Phoenix,-3.6,96.4,13.8,11.5
2023-03-06,Houston,0.2,4.1,4.1,3.7
2021-12-04,Chicago,39.1,78.5,17.1,98.3
2022-05-15,Houston,19.2,82.6,18.3,45.4
2021-05-19,Houston,21.5,74.3,21.1,20.4
2022-01-26,Phoenix,24.1,39.6,8.0,77.7
2020-04-04,Phoenix,31.7,12.1,26.0,12.4
2020-08-24,Los Angeles,11.6,70.2,3.0,52.2
2021-12-11,Chicago,-4.1,53.9,6.8,82.7
2023-01-27,Houston,37.6,79.5,0.8,58.2
2022-01-02,Chicago,6.5,43.8,25.8,90.9
2021-10-01,Houston,2.8,17.9,21.1,8.4
2020-06-03,Houston,29.0,23.2,28.9,82.6
2023-12-12,Phoenix,-7.4,68.0,12.6,1.6
2023-06-23,Phoenix,13.9,42.0,10.2,95.0
2021-03-29,Chicago,11.5,44.3,5.1,33.8
2020-05-27,Chicago,16.6,57.7,23.3,38.9
2020-04-28,Chicago,16.2,84.3,23.5,31.6
2021-07-02,New York,-8.6,71.9,9.8,70.7
2023-05-17,New York,5.3,28.6,0.9,47.9
2022-04-04,Los Angeles,-1.2,6.2,15.3,30.2
2020-01-12,Phoenix,15.2,43.5,22.0,14.9
2023-10-04,Houston,33.6,45.3,0.9,4.1
2022-09-08,Phoenix,1.6,41.9,5.6,26.3
2020-06-14,Chicago,30.9,40.0,12.9,19.6
2021-06-06,Los Angeles,37.3,58.9,6.4,93.7
2020-07-17,Phoenix,-6.1,84.7,28.2,86.5
2023-10-21,Houston,30.6,41.9,25.5,98.4
2023-11-30,New York,26.2,23.2,12.0,72.3
2022-10-31,Houston,12.5,38.5,16.3,58.1
2022-03-12,Los Angeles,-3.9,64.0,25.2,24.8
2021-03-01,New York,34.1,51.1,18.2,85.3
2022-09-19,Phoenix,-4.1,19.5,0.0,73.9
2023-02-07,New York,33.3,12.4,3.0,82.9
2022-02-04,Houston,35.0,53.0,2.3,42.8
2020-04-27,Phoenix,24.2,89.6,11.8,5.3
2023-07-05,Los Angeles,-3.7,90.2,1.7,45.8
2020-03-23,Houston,4.3,8.6,24.2,21.2
2022-06-17,Los Angeles,-3.5,20.2,1.7,22.3
2022-02-22,Houston,29.1,47.1,6.6,19.6
2021-09-26,Chicago,-6.7,91.1,3.6,81.0
2023-01-13,Chicago,32.5,17.3,28.5,44.4
2021-03-18,New York,2.7,23.4,27.7,55.7
2023-02-01,Chicago,-2.8,74.1,22.1,39.7
2023-03-13,Phoenix,25.0,49.2,11.1,41.5
2021-12-19,Phoenix,33.1,85.1,17.3,71.7
2020-07-03,Chicago,11.0,44.1,17.8,41.6
2022-12-22,Chicago,22.0,2.8,13.8,70.1
2023-08-09,Chicago,5.5,22.1,26.3,95.3
2022-05-22,Chicago,14.1,64.8,26.2,63.5
2022-05-25,Phoenix,38.3,61.8,9.1,13.2
2020-02-27,Los Angeles,31.4,64.3,6.7,1.6
2020-02-14,Los Angeles,22.7,96.7,3.7,65.1
2023-01-27,Phoenix,23.2,85.4,5.8,3.0
2021-09-30,New York,2.9,85.3,14.1,43.7
2020-04-11,Chicago,32.7,86.1,4.7,95.7
2020-05-13,Phoenix,28.5,64.4,4.7,32.8
2020-01-15,Los Angeles,-6.5,34.6,29.2,16.9
2020-05-15,Los Angeles,15.7,98.5,18.0,11.1
2023-12-30,Chicago,1.8,21.4,7.5,83.3
2020-04-08,Chicago,15.9,32.4,0.9,22.6
2020-03-20,Houston,8.3,48.7,12.3,96.2
2022-11-05,Los Angeles,27.0,67.8,25.4,88.6
2021-01-07,Phoenix,-3.5,76.4,1.7,80.3
2021-02-14,New York,0.6,15.9,16.5,91.4
2020-12-24,Houston,31.3,11.8,6.7,49.9
2023-08-28,Phoenix,18.3,36.3,14.5,34.2
2021-11-24,Phoenix,20.3,41.0,15.9,12.7
2021-10-06,Los Angeles,20.3,63.1,17.4,92.0
2023-02-10,New York,1.3,2.1,27.8,10.7
2021-06-10,Los Angeles,0.3,60.2,18.9,65.7
2020-06-23,Houston,-9.1,73.0,8.4,78.7
2023-06-04,Phoenix,10.4,2.4,29.0,92.2
2023-02-21,New York,21.4,3.6,15.7,48.2
2023-02-14,Chicago,13.3,61.0,16.0,14.1
2020-05-30,Phoenix,23.6,36.9,16.4,14.6
2022-01-06,Chicago,-6.8,86.2,14.5,77.9
2020-05-15,New York,25.9,30.7,7.7,3.7
2022-09-30,Los Angeles,29.6,89.1,4.2,76.0
2020-05-03,Los Angeles,35.9,59.8,21.9,18.0
2021-11-27,Chicago,24.1,21.9,29.1,3.8
2022-05-02,Chicago,22.4,75.2,2.9,81.7
2022-11-17,Chicago,34.4,27.6,4.3,76.7
2023-04-08,Chicago,4.4,63.3,26.4,30.1
2023-11-15,New York,20.6,83.8,17.2,52.8
2023-11-17,Phoenix,14.0,11.9,3.1,80.8
2023-12-24,Houston,3.1,61.6,3.1,48.6
2023-09-22,Houston,4.1,78.1,28.8,41.2
2020-12-20,Phoenix,29.9,16.3,18.8,90.0
2020-03-22,Chicago,22.3,40.1,29.8,23.3
2023-08-17,New York,7.1,31.1,3.3,93.5
2022-04-24,Los Angeles,3.6,92.2,12.3,54.6
2023-06-16,Chicago,4.2,68.0,0.4,36.5
2020-11-15,New York,23.0,26.7,20.7,1.3
2020-07-24,New York,14.8,79.2,3.6,73.7
2021-08-22,Phoenix,31.5,93.7,25.7,46.0
2021-11-28,Los Angeles,4.4,21.5,21.2,15.5
2021-03-17,Phoenix,5.5,85.4,9.2,82.8
2023-07-22,Los Angeles,23.7,39.6,9.9,77.7
2020-04-22,Houston,14.5,55.7,25.2,7.4
2022-04-04,Houston,6.5,76.1,23.8,58.8
2023-12-25,Chicago,-1.3,15.2,12.8,25.8
2021-01-29,Houston,6.8,9.5,24.3,19.4
2023-09-18,New York,15.6,36.8,23.5,87.9
2021-05-05,Phoenix,-9.8,33.2,25.7,29.9
2022-03-23,Chicago,-4.7,26.5,2.8,90.0
2021-02-08,New York,-7.6,73.8,8.8,78.2
2021-03-06,New York,32.4,72.4,4.8,89.3
2021-09-12,Chicago,39.1,39.2,26.3,64.2
2022-09-09,Houston,8.6,19.1,19.6,3.5
2022-11-30,Los Angeles,-3.9,49.7,27.3,71.5
2022-07-25,Los Angeles,3.5,96.5,13.3,21.1
2020-12-26,New York,16.7,55.0,27.8,74.7
2020-09-26,Houston,-0.6,21.9,6.5,28.5
2023-01-29,New York,7.1,14.4,1.9,68.7
2021-10-10,Los Angeles,-3.3,55.1,13.3,57.5
2021-07-28,Phoenix,19.7,72.7,7.5,0.5
2023-04-28,New York,-5.5,34.2,8.9,80.2
2021-07-25,Phoenix,-8.7,83.1,2.7,10.9
2023-09-21,Chicago,16.3,19.3,26.0,35.0
2023-02-09,Chicago,30.4,76.2,26.1,87.2
2023-01-24,Chicago,15.8,74.7,0.1,72.1
2023-05-25,Houston,32.7,56.0,3.7,31.9
2022-04-06,Chicago,-8.8,20.0,22.5,78.3
2020-09-19,Phoenix,13.4,88.4,21.9,67.6
2023-07-24,Los Angeles,36.6,49.8,12.3,28.0
2021-10-13,Los Angeles,26.4,44.2,3.7,31.5
2023-06-18,Chicago,22.0,18.3,15.4,83.2
2022-08-15,Chicago,13.1,60.3,25.3,84.2
2020-12-18,Chicago,0.4,74.6,7.7,24.2
2023-09-02,New York,28.5,52.0,26.8,6.9
2022-09-29,Phoenix,21.8,18.7,2.8,41.3
2020-11-16,Chicago,19.9,42.8,16.6,75.6
2023-05-24,Los Angeles,-5.0,25.7,1.0,23.2
2020-05-07,Los Angeles,25.4,70.1,3.7,73.2
2023-10-10,Chicago,-5.1,46.6,18.6,26.0
2022-12-04,Phoenix,-8.0,48.2,14.9,4.1
2021-10-09,Houston,24.8,83.7,26.8,99.0
2021-10-18,Chicago,13.5,20.7,6.3,42.9
2020-07-16,New York,31.8,55.4,0.2,40.4
2023-08-13,New York,16.9,79.1,21.4,16.6
2021-02-02,Los Angeles,-4.4,16.9,16.7,61.1
2020-12-26,New York,-5.1,0.7,1.4,18.6
2021-06-11,New York,5.1,84.6,22.7,4.3
2022-02-05,Phoenix,31.6,28.8,10.1,69.9
2023-01-01,Los Angeles,-5.4,26.0,13.7,35.3
2020-06-14,Chicago,-4.2,9.0,27.5,60.2
2023-05-25,Chicago,-6.1,91.4,8.6,21.0
2023-01-25,New York,10.2,70.2,3.5,55.1
2023-12-14,Houston,33.1,47.4,14.3,32.3
2020-04-02,Chicago,30.5,21.5,23.2,2.5
2023-03-16,Houston,23.8,81.5,18.2,51.4
2022-02-13,Los Angeles,18.6,26.5,27.9,67.0
2020-01-05,Phoenix,27.5,2.7,12.3,39.3
2023-06-16,Phoenix,9.1,2.1,7.7,29.5
2020-07-15,Los Angeles,-7.8,9.6,26.1,29.9
2023-09-23,Los Angeles,33.7,99.9,7.1,86.6
2021-02-09,New York,10.8,75.8,20.5,43.1
2022-05-13,Phoenix,2.6,60.3,16.3,10.4
2020-03-06,Chicago,37.3,93.5,29.8,48.5
2020-06-09,Chicago,33.5,16.5,29.6,59.4
2021-10-10,Los Angeles,39.0,62.1,24.7,75.9
2023-11-17,Phoenix,35.5,3.8,12.8,67.5
2021-08-14,Los Angeles,23.9,22.8,24.3,10.5
2023-04-13,Chicago,18.4,74.5,15.7,24.9
2023-01-12,Chicago,14.8,65.3,9.7,83.1
2020-12-08,Phoenix,15.7,8.5,19.2,88.7
2021-02-17,New York,17.8,88.4,26.2,59.6
2023-04-28,Phoenix,12.7,36.0,25.9,66.3
2020-10-14,Chicago,-2.4,15.1,14.5,62.2
2022-10-10,Phoenix,25.1,56.4,9.8,63.4
2021-07-28,New York,0.6,52.9,26.3,60.3
2021-05-17,Chicago,9.5,27.9,4.1,47.8
2023-06-21,Houston,14.8,55.6,23.8,19.3
2023-04-30,Phoenix,-1.1,45.3,24.2,26.9
2023-03-16,New York,-9.5,47.6,23.9,46.7
2020-04-06,Chicago,17.4,3.8,1.5,55.9
2023-09-09,New York,12.1,65.8,9.0,46.5
2021-08-19,Los Angeles,13.4,81.5,13.8,49.7
2021-06-16,Houston,6.8,66.4,16.7,52.2
2023-04-11,New York,9.0,58.3,2.9,31.2
2023-01-09,Los Angeles,-5.4,21.2,7.7,33.8
2023-02-21,Chicago,30.1,84.4,26.8,9.9
2020-04-07,Houston,13.0,83.6,29.9,5.5
2022-05-29,Los Angeles,14.8,53.3,15.7,4.4
2021-12-24,Chicago,22.4,69.5,15.4,61.3
2021-08-16,Phoenix,28.9,23.3,15.5,33.2
2020-11-08,Chicago,3.2,70.9,4.3,52.9
2023-07-26,Houston,17.4,62.7,26.1,48.5
2023-11-19,New York,-7.0,59.2,2.8,40.9
2020-07-21,Houston,1.0,47.4,12.7,8.5
2023-04-20,Los Angeles,26.5,53.9,11.7,87.6
2022-06-30,Phoenix,24.4,53.9,16.0,18.0
2021-03-27,Chicago,13.0,73.6,28.0,3.0
2020-10-20,Chicago,11.4,48.3,6.3,73.4
2021-04-13,New York,7.5,56.2,26.7,89.6
2023-06-01,Chicago,12.3,96.6,13.9,20.6
2022-01-17,Los Angeles,11.8,32.3,15.3,50.3
2023-11-14,Los Angeles,33.2,23.8,5.8,48.0
2023-11-20,Houston,5.9,32.7,0.5,21.6
2023-02-21,New York,31.2,74.1,15.7,51.2
2020-03-11,Houston,-9.1,0.8,6.6,27.5
2021-09-22,Chicago,-0.8,75.6,23.0,90.4
2022-09-22,Houston,16.9,98.7,9.5,15.6
2023-02-23,New York,30.6,38.4,2.0,56.5
2021-08-23,Phoenix,-2.4,3.8,27.3,30.4
2020-12-29,Chicago,35.3,33.5,0.6,37.3
2022-02-22,New York,1.5,84.3,5.2,12.7
2022-11-05,Houston,31.2,16.0,3.0,88.3
2021-03-25,Phoenix,-3.7,42.5,27.4,32.4
2022-12-20,Chicago,17.3,92.9,15.8,58.0
2020-01-24,Phoenix,35.8,29.9,2.6,10.9
2021-10-26,Phoenix,1.7,21.6,15.1,74.1
2022-01-21,Chicago,-1.4,98.6,29.8,92.7
2021-11-15,New York,24.0,96.2,28.2,4.9
2021-02-11,Phoenix,34.4,75.9,12.0,17.3
2020-01-22,Los Angeles,-0.6,13.0,11.5,76.4
2020-02-28,New York,14.1,55.5,0.7,55.3
2023-06-29,Chicago,20.5,97.9,2.6,66.6
2020-12-10,Phoenix,24.0,43.5,2.0,13.6
2020-12-18,Los Angeles,14.2,57.5,13.2,27.0
2023-04-12,Chicago,15.3,27.8,4.4,30.4
2021-10-04,New York,-5.8,10.4,18.7,21.7
2021-07-16,New York,39.8,86.6,7.9,79.6
2022-09-18,Phoenix,-0.7,92.4,21.8,65.0
2022-08-24,New York,20.7,72.6,26.9,83.6
